date_mutation,valeur_fonciere,adresse_nom_voie,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,annee,mois,nombre_lots
2023-01-11,95000.0,RUE BERZELIUS,75017.0,Paris 17e Arrondissement,Appartement,10.0,1,2.318722,48.892625,9500.0,2023,1,1
2023-01-06,200000.0,RUE TESSON,75010.0,Paris 10e Arrondissement,Appartement,19.0,1,2.372024,48.871116,10526.32,2023,1,1
2023-01-12,271500.0,RUE DE LA CHARBONNIERE,75018.0,Paris 18e Arrondissement,Appartement,34.0,2,2.35358,48.884592,7985.29,2023,1,2
2023-01-16,467000.0,BD DE LA CHAPELLE,75010.0,Paris 10e Arrondissement,Appartement,58.0,2,2.362113,48.884006,8051.72,2023,1,2
2023-01-11,693450.0,RUE LA FAYETTE,75009.0,Paris 9e Arrondissement,Appartement,58.0,3,2.342089,48.87557,11956.03,2023,1,1
2023-01-11,1140500.0,RUE SAINT FERDINAND,75017.0,Paris 17e Arrondissement,Appartement,96.0,4,2.286014,48.877516,11880.21,2023,1,2
2023-01-20,498560.0,RUE CHAPON,75003.0,Paris 3e Arrondissement,Appartement,34.0,2,2.356953,48.863066,14663.53,2023,1,1
2023-01-06,215000.0,RUE ORDENER,75018.0,Paris 18e Arrondissement,Appartement,41.0,3,2.343482,48.892784,5243.9,2023,1,1
2023-01-17,530000.0,RUE VOLTA,75003.0,Paris 3e Arrondissement,Appartement,50.0,3,2.357217,48.864976,10600.0,2023,1,1
2023-01-17,252000.0,RUE ETEX,75018.0,Paris 18e Arrondissement,Appartement,28.0,1,2.328423,48.890773,9000.0,2023,1,2
2023-01-06,560000.0,RUE DE LANCRY,75010.0,Paris 10e Arrondissement,Appartement,53.0,2,2.361922,48.871806,10566.04,2023,1,2
2023-01-13,440000.0,AV DES CHASSEURS,75017.0,Paris 17e Arrondissement,Appartement,45.0,3,2.305615,48.887023,9777.78,2023,1,2
2023-01-18,1518000.0,RUE VIEILLE DU TEMPLE,75003.0,Paris 3e Arrondissement,Appartement,97.0,4,2.363245,48.860911,15649.48,2023,1,2
2023-01-18,585000.0,RUE DU BOURG TIBOURG,75004.0,Paris 4e Arrondissement,Appartement,70.0,3,2.356304,48.857941,8357.14,2023,1,2
2023-01-18,240850.0,RUE DU PRE ST GERVAIS,75019.0,Paris 19e Arrondissement,Appartement,23.0,1,2.392367,48.876141,10471.74,2023,1,1
2023-01-09,200000.0,VLA COMPOINT,75017.0,Paris 17e Arrondissement,Appartement,57.0,3,2.324556,48.892095,3508.77,2023,1,2
2023-01-11,125000.0,PAS DE CLICHY,75018.0,Paris 18e Arrondissement,Appartement,14.0,1,2.32903,48.885016,8928.57,2023,1,1
2023-01-20,155000.0,BD MORLAND,75004.0,Paris 4e Arrondissement,Appartement,13.0,1,2.364736,48.849273,11923.08,2023,1,2
2023-01-16,2150000.0,RUE DES NONNAINS D HYERES,75004.0,Paris 4e Arrondissement,Appartement,96.0,3,2.358859,48.854241,22395.83,2023,1,2
2023-01-12,291840.0,RUE DE CLERY,75002.0,Paris 2e Arrondissement,Appartement,28.0,1,2.348293,48.868436,10422.86,2023,1,1
2023-01-20,232000.0,RUE DURANTIN,75018.0,Paris 18e Arrondissement,Appartement,19.0,1,2.336179,48.886542,12210.53,2023,1,1
2023-01-17,360000.0,RUE DE L AGENT BAILLY,75009.0,Paris 9e Arrondissement,Appartement,40.0,1,2.342284,48.878501,9000.0,2023,1,1
2023-01-12,340000.0,RUE DE BRUXELLES,75009.0,Paris 9e Arrondissement,Appartement,30.0,1,2.330692,48.883534,11333.33,2023,1,1
2023-01-19,500000.0,QUAI DE L OISE,75019.0,Paris 19e Arrondissement,Appartement,26.0,1,2.383843,48.891272,19230.77,2023,1,1
2023-01-17,450000.0,RUE NOTRE-DAME DE NAZARETH,75003.0,Paris 3e Arrondissement,Appartement,39.0,1,2.358064,48.867675,11538.46,2023,1,3
2023-01-17,1471081.0,RUE DE MAUBEUGE,75010.0,Paris 10e Arrondissement,Appartement,119.0,5,2.351222,48.88036,12362.03,2023,1,2
2023-01-19,504000.0,BD ROCHECHOUART,75018.0,Paris 18e Arrondissement,Appartement,45.0,3,2.346038,48.883639,11200.0,2023,1,3
2023-01-18,219000.0,RUE DAMREMONT,75018.0,Paris 18e Arrondissement,Appartement,22.0,1,2.338516,48.896232,9954.55,2023,1,1
2023-01-13,160000.0,RUE SAUSSURE,75017.0,Paris 17e Arrondissement,Appartement,16.0,1,2.313307,48.886373,10000.0,2023,1,1
2023-01-10,201615.0,RUE LEGENDRE,75017.0,Paris 17e Arrondissement,Appartement,19.0,2,2.325616,48.891706,10611.32,2023,1,1
2023-01-20,520000.0,RUE ALEXANDRE DUMAS,75020.0,Paris 20e Arrondissement,Appartement,44.0,2,2.397528,48.855124,11818.18,2023,1,2
2023-01-04,285000.0,RUE DES GRANDS CHAMPS,75020.0,Paris 20e Arrondissement,Appartement,36.0,1,2.404946,48.851055,7916.67,2023,1,2
2023-01-06,85000.0,BD DAVOUT,75020.0,Paris 20e Arrondissement,Appartement,10.0,1,2.410031,48.854423,8500.0,2023,1,1
2023-01-12,660000.0,AV DE WAGRAM,75008.0,Paris 8e Arrondissement,Appartement,62.0,3,2.297017,48.87575,10645.16,2023,1,2
2023-01-20,329000.0,BD DE CHARONNE,75020.0,Paris 20e Arrondissement,Appartement,38.0,2,2.396955,48.853892,8657.89,2023,1,2
2023-01-20,480000.0,RUE D ABOUKIR,75002.0,Paris 2e Arrondissement,Appartement,45.0,2,2.345781,48.867084,10666.67,2023,1,1
2023-01-10,1261650.0,RUE CHRISTIANI,75018.0,Paris 18e Arrondissement,Appartement,100.0,4,2.347752,48.886097,12616.5,2023,1,2
2023-01-05,173000.0,RUE MARCADET,75018.0,Paris 18e Arrondissement,Appartement,16.0,1,2.33174,48.892372,10812.5,2023,1,1
2023-01-11,285000.0,RUE ORDENER,75018.0,Paris 18e Arrondissement,Appartement,33.0,2,2.33897,48.893107,8636.36,2023,1,2
2023-01-20,330000.0,RUE PIERRE LESCOT,75001.0,Paris 1er Arrondissement,Appartement,26.0,2,2.348873,48.862639,12692.31,2023,1,1
2023-01-20,570000.0,RUE DESCOMBES,75017.0,Paris 17e Arrondissement,Appartement,53.0,3,2.291868,48.885024,10754.72,2023,1,2
2023-01-18,120000.0,RUE LAMARCK,75018.0,Paris 18e Arrondissement,Appartement,12.0,1,2.330667,48.891146,10000.0,2023,1,1
2023-01-20,407685.0,RUE RAMPAL,75019.0,Paris 19e Arrondissement,Appartement,39.0,2,2.379914,48.873825,10453.46,2023,1,1
2023-01-16,741000.0,BD DE BONNE NOUVELLE,75010.0,Paris 10e Arrondissement,Appartement,140.0,4,2.351834,48.870244,5292.86,2023,1,1
2023-01-06,225000.0,RUE BUZELIN,75018.0,Paris 18e Arrondissement,Appartement,26.0,2,2.363596,48.890402,8653.85,2023,1,2
2023-01-20,1317000.0,RUE CARDINET,75017.0,Paris 17e Arrondissement,Appartement,69.0,4,2.309039,48.884335,19086.96,2023,1,1
2023-01-13,235000.0,RUE POUCHET,75017.0,Paris 17e Arrondissement,Appartement,19.0,2,2.320197,48.893191,12368.42,2023,1,1
2023-01-24,480000.0,BD MORTIER,75020.0,Paris 20e Arrondissement,Appartement,57.0,2,2.408031,48.873089,8421.05,2023,1,2
2023-01-17,548000.0,VLA DES NYMPHEAS,75020.0,Paris 20e Arrondissement,Appartement,88.0,4,2.407757,48.869582,6227.27,2023,1,2
2023-01-03,320000.0,IMP STE HENRIETTE,75018.0,Paris 18e Arrondissement,Appartement,35.0,2,2.343012,48.896787,9142.86,2023,1,1
2023-01-17,1344000.0,RUE DE CHAZELLES,75017.0,Paris 17e Arrondissement,Appartement,90.0,3,2.303677,48.879787,14933.33,2023,1,2
2023-01-18,1500000.0,RUE DE TURENNE,75003.0,Paris 3e Arrondissement,Appartement,110.0,5,2.364751,48.858685,13636.36,2023,1,3
2023-01-19,560000.0,RUE SAUSSURE,75017.0,Paris 17e Arrondissement,Appartement,51.0,2,2.317055,48.883286,10980.39,2023,1,3
2023-01-17,1460000.0,RUE LEON COGNIET,75017.0,Paris 17e Arrondissement,Appartement,120.0,5,2.302489,48.881533,12166.67,2023,1,2
2023-01-12,714995.0,RUE VERNIQUET,75017.0,Paris 17e Arrondissement,Appartement,72.0,2,2.301209,48.888164,9930.49,2023,1,1
2023-01-09,298000.0,RUE JEAN JACQUES ROUSSEAU,75001.0,Paris 1er Arrondissement,Appartement,29.0,2,2.344032,48.864042,10275.86,2023,1,4
